,Date published,url,anger,disgust,fear,joy,sadness,label,score
29,2021-11-18T16:14:06Z,https://www.theguardian.com/technology/2021/nov/18/crypto-cryptocurrency-cryptographers,0.159392,0.465034,0.111959,0.236806,0.559716,positive,0.295412
30,2021-11-18T14:43:08Z,https://www.theguardian.com/games/2021/nov/18/animal-crossing-new-horizons-nintendo-switch,0.564069,0.116249,0.084529,0.663644,0.50394,positive,0.518685
31,2021-11-18T07:00:05Z,https://www.theguardian.com/technology/2021/nov/18/cryptocurrency-bitcoin-environmentalist-alarm-us-politicians,0.180505,0.082546,0.271136,0.522152,0.534527,negative,-0.606359
32,2021-11-17T17:26:24Z,https://www.theguardian.com/business/live/2021/nov/17/uk-inflation-ten-year-high-fuel-energy-food-cars-stock-markets-ftse-business-live,error,error,error,error,error,error,error
33,2021-11-17T07:00:46Z,https://www.theguardian.com/sport/2021/nov/17/australian-baseball-league-club-perth-heat-to-pay-players-in-bitcoin,0.180161,0.084378,0.001241,0.610143,0.189055,positive,0.516317
34,2021-11-14T11:21:31Z,https://www.theguardian.com/commentisfree/2021/nov/14/exclusive-clubs-called-daos-are-popping-up-online-whats-it-all-about,0.148448,0.13614,0.080991,0.588548,0.230572,positive,0.384778
35,2021-11-13T16:45:09Z,https://www.theguardian.com/technology/2021/nov/13/ban-ads-for-cryptocurrencies-at-stations-and-on-buses-tfl-urged,0.184837,0.140706,0.114532,0.478812,0.568676,negative,-0.568183
36,2021-11-09T18:13:05Z,https://www.theguardian.com/business/live/2021/nov/09/fed-warning-stock-markets-bitcoin-inflation-economy-business-live,error,error,error,error,error,error,error
37,2021-11-09T08:22:26Z,https://www.theguardian.com/technology/2021/nov/09/bitcoin-price-record-high-cryptocurrencies-ethereum,0.137619,0.056369,0.124982,0.501498,0.242611,negative,-0.316407
38,2021-11-08T23:42:14Z,https://www.theguardian.com/world/live/2021/nov/08/covid-news-live-us-opens-borders-to-foreign-tourists-auckland-lockdown-likely-to-end-this-month,0.162778,0.079515,0.152227,0.472282,0.611965,negative,-0.561254
39,2021-11-08T17:54:22Z,https://www.theguardian.com/business/live/2021/nov/08/uk-us-flights-resume-travel-ban-markets-crypto-rally-tesla-musk-business-live,0.57958,0.090238,0.155996,0.558079,0.521456,negative,-0.306803
40,2021-11-07T08:00:14Z,https://www.theguardian.com/us-news/2021/nov/07/charlottesville-virginia-court-trial-violence,0.596508,0.527983,0.126439,0.10652,0.524365,negative,-0.723072
41,2021-11-06T19:00:04Z,https://www.theguardian.com/news/2021/nov/07/australian-banks-are-opening-up-to-cryptocurrency-what-does-it-mean-for-you,0.489877,0.143687,0.439583,0.08789,0.653138,negative,-0.487885
42,2021-11-06T11:30:31Z,https://www.theguardian.com/artanddesign/2021/nov/06/how-nfts-non-fungible-tokens-are-shaking-up-the-art-world,error,error,error,error,error,error,error
43,2021-11-06T11:00:30Z,https://www.theguardian.com/money/2021/nov/06/see-the-light-the-best-cycling-jackets-to-keep-you-safe-at-night,0.147001,0.08676,0.111871,0.644758,0.523989,negative,-0.435438
44,2021-11-03T06:50:29Z,https://www.theguardian.com/australia-news/2021/nov/03/commonwealth-bank-to-offer-cryptocurrency-trading-in-first-for-australias-big-four,0.143495,0.058885,0.08413,0.629517,0.214897,positive,0.296122
45,2021-10-30T05:00:02Z,https://www.theguardian.com/media/2021/oct/30/tucker-carlson-condemned-capitol-attack-liz-cheney,0.515853,0.565149,0.507034,0.080539,0.478985,negative,-0.771493
46,2021-10-26T20:19:38Z,https://www.theguardian.com/tv-and-radio/live/2021/oct/26/the-great-british-bake-off-2021-episode-six-live,0.074185,0.09758,0.107957,0.673449,0.571655,positive,0.491985
47,2021-10-26T07:45:31Z,https://www.theguardian.com/australia-news/live/2021/oct/26/australia-news-live-update-scott-morrison-to-unveil-details-of-2050-net-zero-emissions-plan-covid-question-time-nationals-barnaby-joyce-canavan-climate-change-pfizer-vaccine-coronavirus-cases-new-south-wales-victoria,0.129611,0.101717,0.087536,0.528565,0.596955,positive,0.300758
48,2021-10-25T08:06:43Z,https://www.theguardian.com/australia-news/live/2021/oct/25/australia-news-live-update-covid-vaccine-victoria-new-south-wales-cabinet-meets-to-finalise-2050-net-zero-deal-all-nsw-students-return-to-school-daniel-andrews-90-booster-shots-cop26,0.136919,0.128292,0.099089,0.554628,0.486077,negative,-0.416353
49,2021-10-24T09:30:06Z,https://www.theguardian.com/tv-and-radio/commentisfree/2021/oct/24/bergerac-20-jersey-detectives-return-is-a-remake-too-far,0.161953,0.120169,0.078414,0.618066,0.25743,positive,0.482818
50,2021-10-23T15:00:44Z,https://www.theguardian.com/commentisfree/2021/oct/23/whistleblowing-requires-courage-but-dont-expect-facebook-to-change-its-ways,0.09121,0.070567,0.123561,0.588643,0.228657,positive,0.535445
51,2021-10-22T13:08:50Z,https://www.theguardian.com/science/2021/oct/22/how-it-feels-to-go-into-space-more-beautiful-and-dazzling-and-frightening-than-i-ever-imagined,0.084863,0.056065,0.560441,0.607229,0.222606,positive,0.539555
