,Date published,url,anger,disgust,fear,joy,sadness,label,score
0,2021-11-09T18:13:05Z,https://www.theguardian.com/business/live/2021/nov/09/fed-warning-stock-markets-bitcoin-inflation-economy-business-live,error,error,error,error,error,error,error
1,2021-10-02T09:00:06Z,https://www.theguardian.com/business/2021/oct/02/how-the-supply-chain-crisis-is-affecting-six-big-economies,0.132263,0.11162,0.182699,0.152205,0.606915,negative,-0.627709
2,2021-05-19T20:58:11Z,https://www.theguardian.com/business/live/2021/may/19/uk-inflation-rises-april-energy-fuel-clothing-bitcoin-ftse-stock-markets-business-live,0.178891,0.115344,0.136634,0.178249,0.551064,negative,-0.321999
3,2020-12-07T23:25:51Z,https://www.theguardian.com/world/live/2020/dec/07/coronavirus-live-news-giuliani-tests-positive-for-covid-california-braces-for-lockdown,0.297401,0.026554,0.01025,0.630955,0.089998,negative,-0.549626
