,Date published,url,anger,disgust,fear,joy,sadness
0,2021-06-15T18:41:06Z,https://www.theguardian.com/business/live/2021/jun/15/uk-unemployment-falls-payrolls-trade-stock-markets-ftse-us-economy-business-live,error,error,error,error,error
1,2021-01-12T19:38:36Z,https://www.theguardian.com/business/live/2021/jan/12/oil-bitcoin-markets-ftse-100-bank-of-england-fed-pound,0.086926,0.098018,0.15761,0.534595,0.591844
2,2018-01-25T21:24:27Z,https://www.theguardian.com/business/live/2018/jan/25/davos-2018-may-trump-hammond-lagarde-climate-change-crypto-tax-avoidance-day-three-live,0.139096,0.082855,0.096644,0.551879,0.464949
3,2015-04-13T11:00:06Z,https://www.theguardian.com/us-news/2015/apr/13/oklahoma-city-bombing-20-years-later-key-questions-remain-unanswered,error,error,error,error,error
