,Date published,url,anger,disgust,fear,joy,sadness,label,score
0,2021-11-09T18:13:05Z,https://www.theguardian.com/business/live/2021/nov/09/fed-warning-stock-markets-bitcoin-inflation-economy-business-live,error,error,error,error,error,error,error
1,2021-05-24T18:49:22Z,https://www.theguardian.com/business/live/2021/may/24/commodity-prices-iron-ore-china-speculation-bitcoin-ftse-bank-of-england-business-live,error,error,error,error,error,error,error
2,2021-05-09T18:01:31Z,https://www.theguardian.com/technology/2021/may/09/dogecoins-value-tumbles-after-elon-musk-calls-the-virtual-currency-a-hustle,0.189904,0.009917,0.01471,0.771712,0.02472,positive,0.273663
3,2021-04-18T16:42:50Z,https://www.theguardian.com/technology/2021/apr/18/bitcoin-records-biggest-one-day-drop-for-months,0.151422,0.128387,0.118881,0.55761,0.660889,negative,-0.376757
